,CustomerID,LTDValue,PurchaseFrequency,MostRecentPurchase,PurchaseRecencyDays
1123,13868.0,3192.54,2,2011-12-02 16:32:00,6
1124,13869.0,3104.95,4,2011-08-08 13:53:00,122
1125,13870.0,2770.94,8,2011-12-07 13:23:00,1
1127,13873.0,389.6,3,2011-08-12 10:08:00,119
1128,13874.0,540.45,1,2010-12-16 18:20:00,357
1129,13875.0,1786.79,5,2011-10-17 09:36:00,53
1130,13876.0,122.7,1,2011-10-07 10:22:00,63
1131,13877.0,117.24,1,2011-09-14 15:49:00,85
1132,13878.0,1281.53,1,2011-10-16 12:19:00,54
1135,13882.0,1191.13,5,2011-12-07 11:16:00,2
1136,13883.0,2674.48,5,2011-11-29 10:45:00,10
1137,13884.0,787.6,5,2011-12-02 16:30:00,6
1138,13885.0,506.8,2,2011-06-03 15:07:00,188
1139,13886.0,243.56,1,2011-09-29 13:17:00,70
1140,13887.0,349.55,1,2011-05-19 17:22:00,203
1141,13888.0,605.63,2,2011-08-12 10:13:00,119
1142,13889.0,416.90000000000003,1,2011-09-08 09:13:00,92
1143,13890.0,1883.8100000000002,10,2011-12-08 15:36:00,0
1144,13892.0,632.97,4,2011-11-13 11:50:00,26
1145,13893.0,821.1,1,2011-02-15 11:30:00,297
1146,13894.0,564.62,3,2011-11-16 09:44:00,23
1147,13895.0,2593.07,4,2011-11-11 16:57:00,27
1148,13897.0,311.16,1,2011-10-20 14:30:00,49
1149,13898.0,155.93,1,2011-01-18 10:28:00,325
1150,13899.0,388.52,2,2011-11-23 13:40:00,15
1151,13900.0,740.95,3,2011-06-09 19:26:00,182
1152,13901.0,2867.2,5,2011-09-28 14:48:00,71
1153,13904.0,332.64,2,2011-11-02 13:41:00,36
1154,13908.0,2319.55,4,2011-09-21 11:49:00,79
1155,13911.0,2580.91,9,2011-10-13 15:43:00,56
1156,13914.0,626.45,2,2011-11-28 10:35:00,11
1157,13917.0,272.04,2,2011-10-21 09:56:00,49
1158,13918.0,1212.8400000000001,2,2011-10-21 12:25:00,49
1159,13919.0,348.81,2,2011-10-11 14:24:00,58
1160,13922.0,172.25,1,2010-12-23 10:38:00,351
1161,13923.0,351.13,1,2011-10-17 12:33:00,53
1162,13924.0,1838.8500000000001,6,2011-12-08 09:39:00,1
1163,13925.0,678.25,4,2011-09-08 12:47:00,92
1164,13926.0,223.85000000000002,1,2011-11-16 13:16:00,22
1165,13927.0,348.99,1,2011-09-26 12:00:00,74
1166,13928.0,464.57,4,2011-11-29 10:33:00,10
1167,13929.0,842.65,2,2011-06-23 15:26:00,168
1168,13930.0,337.34,2,2011-10-13 09:45:00,57
1169,13931.0,1237.53,2,2011-09-05 10:12:00,95
1170,13932.0,307.4,1,2011-02-18 12:02:00,294
1171,13933.0,608.7900000000001,2,2011-08-22 14:03:00,108
1172,13934.0,922.1,1,2011-03-21 08:39:00,263
1173,13936.0,376.58,1,2011-06-13 08:47:00,179
1174,13937.0,158.85,1,2011-06-23 16:35:00,168
1175,13938.0,71.66,1,2011-11-04 14:37:00,34
1176,13939.0,568.55,3,2011-11-16 13:33:00,22
1177,13940.0,839.14,4,2011-11-22 15:15:00,16
1179,13946.0,561.5699999999999,3,2011-09-21 13:33:00,78
1180,13947.0,90.6,1,2011-10-05 14:42:00,64
1181,13948.0,102.0,1,2010-12-14 10:18:00,360
1182,13949.0,2427.32,6,2011-12-07 09:35:00,2
1183,13950.0,745.06,4,2011-11-28 14:44:00,10
1184,13951.0,674.45,3,2011-06-16 16:43:00,175
1185,13952.0,3251.07,2,2011-05-06 09:00:00,217
1186,13953.0,3515.68,7,2011-12-02 16:04:00,6
1187,13954.0,439.92,2,2011-12-08 12:50:00,1
1188,13955.0,322.96,2,2011-07-08 17:19:00,153
1189,13956.0,1026.42,5,2011-12-04 13:20:00,4
1190,13959.0,598.2,3,2011-09-21 15:06:00,78
1191,13960.0,230.22,2,2011-11-18 15:27:00,20
1192,13962.0,169.55,2,2011-11-18 08:47:00,21
1193,13963.0,664.54,4,2011-02-04 14:43:00,307
1194,13967.0,80.7,1,2011-07-17 12:02:00,145
1196,13971.0,2758.26,8,2011-11-21 12:06:00,18
1197,13972.0,190.25,2,2011-09-30 11:54:00,70
1198,13973.0,264.7,1,2011-02-25 15:21:00,286
1199,13974.0,413.59000000000003,1,2011-10-21 14:41:00,48
1200,13975.0,2526.28,6,2011-11-08 13:19:00,30
1201,13976.0,357.98,1,2011-05-17 09:13:00,206
1202,13978.0,196.79000000000002,2,2011-11-25 11:36:00,14
1203,13979.0,869.87,1,2011-09-27 13:32:00,72
1204,13980.0,200.14,1,2011-10-10 13:34:00,59
1205,13982.0,1871.81,4,2011-10-31 16:24:00,38
1207,13984.0,920.51,5,2011-11-13 12:38:00,26
1209,13986.0,320.46,1,2011-11-22 15:00:00,16
1211,13989.0,1266.08,2,2011-10-05 09:47:00,65
1212,13990.0,311.3,1,2011-05-10 15:19:00,212
1213,13991.0,855.97,6,2011-11-27 16:18:00,11
1214,13992.0,76.8,1,2011-11-09 15:23:00,29
1215,13993.0,3466.36,9,2011-10-28 09:06:00,42
1216,13994.0,2313.14,6,2011-12-06 11:05:00,3
1217,13995.0,1393.69,5,2011-11-24 14:22:00,14
1219,14000.0,635.66,1,2011-05-12 16:50:00,210
1220,14001.0,2043.0800000000002,3,2011-10-25 10:31:00,45
1221,14002.0,529.73,2,2011-07-28 15:55:00,133
1223,14005.0,2874.72,5,2011-11-30 12:41:00,9
1224,14006.0,962.19,3,2011-08-16 09:39:00,115
1225,14009.0,695.61,2,2011-05-25 15:47:00,197
1226,14012.0,328.8,1,2011-03-07 12:26:00,277
1227,14013.0,473.02,3,2011-08-21 15:01:00,109
1228,14014.0,505.18,1,2011-09-23 13:18:00,76
1229,14015.0,917.34,1,2011-10-18 10:02:00,52
1231,14019.0,1421.61,3,2011-10-24 10:13:00,46
1232,14020.0,642.8,2,2011-11-23 09:22:00,16
1233,14021.0,631.9,3,2011-07-07 15:46:00,154
1234,14022.0,440.0,1,2011-04-28 14:39:00,224
1235,14023.0,584.07,2,2011-12-02 13:58:00,6
1236,14024.0,327.7,2,2011-08-10 11:30:00,121
1237,14027.0,104.82,1,2011-10-10 09:01:00,60
1238,14029.0,467.66,2,2011-10-07 14:46:00,62
1239,14030.0,2360.09,8,2011-11-21 16:48:00,17
1241,14032.0,2975.59,11,2011-12-07 15:23:00,1
1242,14034.0,651.8199999999999,3,2011-11-17 14:02:00,21
1243,14035.0,1428.02,5,2011-11-11 10:03:00,28
1244,14036.0,626.65,1,2011-02-28 09:26:00,284
1245,14037.0,147.20000000000002,2,2011-06-16 13:57:00,175
1246,14038.0,1560.38,3,2011-09-22 13:37:00,77
1247,14039.0,152.2,1,2011-11-06 13:48:00,32
1249,14041.0,141.41,1,2011-03-18 13:25:00,265
1250,14044.0,652.82,4,2011-11-13 12:05:00,26
1251,14045.0,1659.75,4,2011-08-22 15:27:00,108
1252,14046.0,154.99,1,2011-02-28 14:48:00,283
1253,14047.0,1308.6100000000001,5,2011-12-01 11:43:00,8
1254,14048.0,409.93,1,2011-02-07 14:53:00,304
1256,14050.0,746.36,2,2011-11-08 10:00:00,31
1258,14052.0,225.36,1,2011-11-20 12:30:00,19
1259,14053.0,260.25,2,2011-08-07 14:27:00,123
1260,14054.0,92.46,1,2011-10-05 15:49:00,64
1261,14055.0,725.6400000000001,1,2011-08-25 15:04:00,105
1264,14059.0,183.6,1,2011-03-18 10:06:00,266
1267,14064.0,1353.74,5,2011-11-10 13:14:00,28
1268,14066.0,152.55,1,2011-03-18 12:21:00,266
1269,14067.0,374.7,2,2011-10-07 10:21:00,63
1270,14068.0,265.85,1,2011-01-23 16:02:00,319
1271,14071.0,1438.82,8,2011-12-06 12:27:00,3
1272,14073.0,151.04,1,2011-11-07 15:49:00,31
1273,14075.0,942.26,3,2011-12-05 08:38:00,4
1274,14076.0,122.47,1,2011-08-02 15:19:00,128
1275,14077.0,499.41999999999996,5,2011-10-30 12:35:00,40
1276,14078.0,1049.37,6,2011-08-30 12:16:00,101
1277,14079.0,375.1,1,2011-08-07 12:10:00,124
1278,14080.0,45.599999999999994,1,2011-11-07 11:09:00,32
1279,14081.0,934.52,2,2011-02-10 16:17:00,301
1280,14082.0,182.25,1,2010-12-10 11:02:00,364
1281,14083.0,1018.43,9,2011-12-05 13:14:00,3
1283,14087.0,194.42,1,2011-12-07 12:41:00,2
1285,14089.0,161.0,1,2011-10-14 10:38:00,56
1286,14090.0,76.32000000000001,1,2011-01-19 10:51:00,324
1288,14093.0,442.85,1,2011-11-27 16:27:00,11
1290,14098.0,147.35,1,2011-11-03 10:13:00,36
1291,14099.0,3104.17,11,2011-11-23 13:53:00,15
1292,14100.0,194.9,1,2011-07-25 11:01:00,137
1294,14102.0,1360.28,5,2011-12-04 15:38:00,4
1295,14104.0,216.20999999999998,2,2011-07-08 12:50:00,154
1296,14105.0,1266.23,1,2011-04-14 17:58:00,238
1297,14107.0,2703.23,7,2011-10-19 12:12:00,51
1298,14108.0,597.91,2,2011-11-09 10:41:00,30
1299,14109.0,144.2,1,2011-09-28 10:18:00,72
1301,14111.0,692.85,4,2011-11-25 13:44:00,13
1302,14112.0,2915.15,7,2011-11-17 12:30:00,22
1303,14113.0,1840.42,4,2011-12-06 12:18:00,3
1304,14114.0,386.53,2,2011-03-11 09:42:00,273
1305,14116.0,1382.74,5,2011-11-20 10:29:00,19
1306,14117.0,90.0,1,2011-07-19 09:49:00,143
1307,14121.0,2780.15,4,2011-12-06 12:19:00,3
1308,14124.0,419.58000000000004,1,2011-09-16 13:32:00,83
1309,14125.0,2740.43,3,2011-11-29 12:47:00,10
1310,14126.0,706.1300000000001,3,2011-12-02 11:45:00,7
1311,14127.0,709.71,3,2011-08-09 10:49:00,122
1312,14128.0,637.5,2,2011-10-10 12:00:00,60
1313,14129.0,1123.8600000000001,5,2011-12-08 11:02:00,1
1314,14130.0,483.86,1,2011-01-24 16:05:00,318
1315,14132.0,3586.0299999999997,11,2011-12-07 13:35:00,1
1316,14133.0,605.64,3,2011-08-02 11:34:00,129
1318,14138.0,982.3800000000001,2,2011-12-08 12:44:00,1
1319,14139.0,415.82,1,2011-10-24 13:34:00,45
1320,14140.0,935.05,2,2011-12-06 09:05:00,3
1321,14141.0,915.13,4,2011-12-07 09:53:00,2
1322,14142.0,311.81,1,2010-12-01 16:33:00,372
1323,14143.0,115.8,1,2011-07-29 09:48:00,133
1326,14147.0,483.4,2,2011-09-22 18:10:00,77
1327,14148.0,157.2,1,2011-04-20 12:02:00,233
1328,14149.0,446.62,1,2011-05-03 09:44:00,220
1329,14150.0,658.64,2,2011-11-04 10:05:00,35
1330,14152.0,621.29,2,2011-09-25 12:54:00,74
1331,14154.0,1345.62,2,2011-04-14 16:26:00,238
1332,14155.0,118.75,1,2011-03-18 14:13:00,265
1334,14157.0,432.88,2,2011-11-20 11:32:00,19
1335,14158.0,507.66,1,2011-10-30 15:08:00,39
1337,14161.0,1110.52,3,2011-05-08 11:41:00,215
1338,14162.0,289.36,2,2011-06-19 11:36:00,173
1339,14163.0,2445.91,4,2011-09-13 15:18:00,86
1340,14164.0,1631.77,2,2011-09-30 12:24:00,70
1341,14165.0,122.53999999999999,1,2011-03-09 12:39:00,275
1342,14167.0,574.84,4,2011-10-31 14:29:00,38
1343,14171.0,363.79,1,2011-09-02 16:43:00,97
1344,14173.0,450.84,4,2011-11-29 11:54:00,10
1345,14174.0,134.46,1,2011-11-06 13:17:00,32
1346,14175.0,3222.3,3,2011-10-11 11:55:00,59
1347,14176.0,576.9000000000001,4,2011-02-15 13:12:00,296
1348,14177.0,559.41,4,2011-09-14 15:11:00,85
1349,14178.0,1620.93,7,2011-12-01 12:01:00,8
1350,14179.0,719.78,2,2011-10-30 12:07:00,40
1352,14184.0,452.89,1,2011-10-04 12:43:00,66
1353,14185.0,197.65,1,2011-01-12 13:52:00,330
1354,14188.0,2054.36,6,2011-11-09 12:45:00,30
1357,14193.0,853.39,2,2011-10-03 09:34:00,67
1359,14195.0,1012.0,2,2011-05-22 10:29:00,201
1360,14196.0,335.52,1,2011-08-25 10:25:00,106
1361,14198.0,701.4,4,2011-11-21 16:35:00,17
1362,14199.0,185.39999999999998,1,2011-05-05 13:44:00,217
1363,14201.0,747.44,7,2011-10-10 13:27:00,59
1364,14204.0,161.03,1,2011-12-07 13:38:00,1
1365,14205.0,466.7,2,2011-11-23 10:55:00,16
1366,14206.0,328.15999999999997,1,2011-04-14 16:38:00,238
1367,14208.0,151.74,1,2011-09-06 12:48:00,94
1368,14209.0,2073.43,6,2011-11-29 10:18:00,10
1369,14210.0,1905.8400000000001,6,2011-08-26 12:36:00,105
1370,14211.0,2241.1,9,2011-10-17 13:23:00,52
1371,14212.0,1070.48,1,2011-09-11 12:45:00,89
1372,14214.0,1004.38,5,2011-11-09 10:31:00,30
1373,14215.0,1789.72,6,2011-11-28 12:19:00,11
1374,14216.0,1839.3,4,2011-12-06 14:56:00,2
1376,14218.0,169.48000000000002,1,2011-10-28 10:00:00,42
1377,14219.0,89.94,1,2011-12-05 16:23:00,3
1378,14220.0,632.4,2,2011-04-06 13:23:00,246
1379,14221.0,3432.8,9,2011-10-28 13:42:00,41
1380,14222.0,683.17,1,2011-06-15 16:42:00,176
1381,14223.0,991.13,3,2011-09-08 13:38:00,91
1382,14224.0,1050.12,4,2011-08-21 13:24:00,109
1383,14226.0,2232.19,5,2011-11-11 11:34:00,28
1384,14227.0,3350.96,10,2011-11-13 15:48:00,25
1385,14229.0,1547.2,3,2011-10-19 10:04:00,51
1386,14231.0,925.71,3,2011-06-09 11:05:00,183
1387,14232.0,2048.07,5,2011-10-28 11:09:00,42
1388,14233.0,1462.72,4,2011-10-21 15:54:00,48
1389,14234.0,775.46,4,2011-11-17 17:53:00,21
1390,14235.0,3144.86,5,2011-09-25 14:37:00,74
1391,14236.0,490.86,2,2011-09-20 09:13:00,80
1392,14237.0,161.0,1,2010-12-01 13:20:00,372
1393,14238.0,146.85,1,2011-01-17 14:40:00,325
1394,14239.0,2380.85,11,2011-10-27 14:40:00,42
1395,14240.0,890.34,2,2011-11-09 13:45:00,29
1396,14241.0,213.70000000000002,1,2011-06-09 11:46:00,183
1397,14242.0,280.55,2,2011-04-19 11:46:00,234
1398,14243.0,2588.77,10,2011-12-01 11:12:00,8
1399,14245.0,1693.45,2,2011-05-04 08:40:00,219
1400,14246.0,1474.06,3,2011-08-21 11:50:00,110
1401,14247.0,136.76999999999998,1,2011-03-06 15:21:00,277
1402,14248.0,302.58,1,2011-01-25 14:45:00,317
1403,14250.0,1904.05,3,2011-12-02 14:30:00,6
1404,14251.0,2879.7000000000003,5,2011-12-08 08:32:00,1
1405,14256.0,969.0600000000001,2,2011-03-24 13:17:00,259
1406,14257.0,3099.7200000000003,5,2011-10-06 16:54:00,63
1408,14259.0,120.0,1,2011-07-21 10:44:00,141
1409,14261.0,1163.45,2,2011-10-20 10:04:00,50
1410,14262.0,2618.23,8,2011-12-01 14:17:00,7
1411,14264.0,333.97,2,2011-07-08 10:20:00,154
1412,14265.0,530.18,2,2011-08-22 13:32:00,108
1413,14267.0,1516.24,3,2011-06-30 10:09:00,162
1414,14270.0,492.65000000000003,1,2011-01-12 09:33:00,331
1415,14271.0,112.32,1,2011-04-28 12:47:00,225
1416,14272.0,437.96,2,2011-09-27 10:08:00,73
1417,14273.0,559.97,4,2011-10-19 13:20:00,50
1418,14276.0,1119.74,3,2011-09-02 09:45:00,98
1420,14280.0,134.04,1,2011-05-27 10:37:00,196
1422,14284.0,595.25,2,2011-11-09 08:11:00,30
1423,14285.0,1910.01,4,2011-11-18 14:50:00,20
1425,14287.0,176.63,3,2011-12-01 13:25:00,7
1426,14288.0,426.6,1,2011-05-10 13:22:00,212
1427,14289.0,911.26,6,2011-12-01 11:44:00,8
1428,14290.0,2314.65,5,2011-11-28 14:02:00,10
1431,14293.0,1046.56,4,2011-12-06 15:17:00,2
1432,14295.0,166.20000000000002,1,2011-10-30 15:50:00,39
1433,14297.0,1305.33,4,2011-11-22 09:06:00,17
1436,14300.0,43.2,1,2011-11-21 08:57:00,18
1437,14301.0,640.14,1,2011-08-14 15:33:00,116
1438,14304.0,383.45,1,2011-05-01 11:50:00,222
1439,14305.0,1858.96,3,2011-09-29 15:29:00,70
1440,14306.0,2093.32,2,2011-10-19 13:23:00,50
1441,14307.0,2995.72,6,2011-09-12 09:38:00,88
1442,14309.0,2352.53,9,2011-12-01 13:33:00,7
1443,14311.0,310.26,1,2011-04-11 10:14:00,242
1444,14312.0,1611.59,6,2011-10-24 09:46:00,46
1445,14314.0,120.0,1,2011-08-25 10:39:00,106
1446,14315.0,2481.13,6,2011-10-26 12:06:00,44
1447,14317.0,508.58000000000004,1,2011-10-06 10:44:00,64
1448,14320.0,477.79,2,2011-05-17 09:24:00,206
1449,14321.0,1530.75,5,2011-11-29 09:47:00,10
1450,14323.0,605.0600000000001,2,2011-08-17 11:37:00,114
1451,14326.0,183.85,1,2011-04-11 15:04:00,241
1452,14327.0,311.65,1,2011-06-29 13:58:00,162
1454,14331.0,462.65999999999997,2,2011-08-07 13:17:00,123
1455,14332.0,866.31,3,2011-11-17 11:54:00,22
1456,14333.0,415.2,1,2011-10-03 10:38:00,67
1457,14334.0,2552.21,8,2011-11-23 10:01:00,16
1458,14335.0,468.26,2,2011-11-23 13:41:00,15
1459,14336.0,1614.91,4,2011-11-23 11:40:00,16
1460,14338.0,588.22,2,2011-07-01 14:08:00,160
1461,14339.0,309.52,1,2011-04-11 11:06:00,242
1462,14340.0,134.7,1,2011-05-05 09:44:00,218
1463,14341.0,2182.28,8,2011-10-25 15:48:00,44
1464,14342.0,668.5600000000001,4,2011-11-18 13:21:00,20
1465,14344.0,889.9300000000001,8,2011-08-04 13:51:00,126
1466,14345.0,108.97999999999999,1,2011-11-01 09:51:00,38
1467,14346.0,1021.58,2,2011-08-11 09:47:00,120
1468,14348.0,409.57,1,2011-03-24 16:23:00,259
1469,14349.0,133.5,1,2011-11-29 15:39:00,9
1470,14350.0,282.93,1,2011-03-10 14:14:00,273
1471,14351.0,51.0,1,2011-06-28 11:56:00,164
1472,14352.0,1078.96,4,2011-07-05 15:41:00,156
1473,14353.0,90.6,1,2011-05-08 16:06:00,214
1474,14354.0,163.62,2,2011-12-04 11:32:00,5
1475,14355.0,174.4,1,2010-12-09 12:16:00,365
1476,14356.0,701.23,2,2011-09-21 09:18:00,79
1477,14357.0,225.77,1,2011-10-27 16:23:00,42
1478,14359.0,912.18,3,2011-11-20 13:17:00,18
1479,14360.0,2128.23,4,2011-11-08 09:12:00,31
1480,14362.0,161.2,1,2011-11-17 15:08:00,21
1483,14368.0,155.0,1,2011-01-24 09:52:00,319
1484,14371.0,100.5,1,2011-02-17 16:35:00,294
1485,14373.0,76.55,1,2010-12-16 15:40:00,357
1486,14375.0,257.68,1,2011-06-07 13:44:00,184
1487,14377.0,617.05,2,2011-06-01 13:32:00,190
1488,14379.0,348.1,2,2011-10-26 16:43:00,43
1489,14381.0,202.68,1,2011-10-18 17:10:00,51
1490,14382.0,626.0699999999999,1,2011-11-13 16:18:00,25
1491,14383.0,1247.69,3,2011-11-01 15:53:00,37
1492,14385.0,202.11,3,2011-11-30 15:36:00,8
1493,14386.0,142.4,1,2011-02-16 09:45:00,296
1494,14387.0,1770.56,3,2011-11-07 12:29:00,32
1495,14388.0,3212.84,8,2011-11-29 13:32:00,9
1496,14389.0,1043.46,2,2011-10-05 15:17:00,64
1498,14393.0,67.95,1,2011-05-05 18:16:00,217
1499,14395.0,3507.71,9,2011-12-07 14:34:00,1
1500,14396.0,487.99,2,2011-10-05 16:09:00,64
1502,14400.0,574.7,1,2011-07-13 15:50:00,148
1504,14403.0,1475.81,4,2011-08-01 12:57:00,129
1505,14404.0,1474.32,6,2011-11-06 12:30:00,33
1506,14406.0,156.75,1,2011-08-12 16:54:00,118
1507,14407.0,2142.73,5,2011-08-24 14:02:00,106
1508,14408.0,2606.53,7,2011-11-29 11:41:00,10
1509,14409.0,2059.4500000000003,6,2011-09-29 18:18:00,70
1510,14410.0,1105.07,9,2011-09-08 15:08:00,91
1511,14411.0,1063.0,1,2011-02-02 10:56:00,310
1512,14412.0,770.03,2,2011-10-28 10:45:00,42
1513,14413.0,122.7,1,2010-12-12 13:37:00,361
1514,14414.0,1496.98,7,2011-09-09 12:09:00,91
1516,14416.0,490.22,2,2011-11-17 15:22:00,21
1517,14418.0,1937.25,3,2011-12-06 11:39:00,3
1518,14419.0,1058.06,6,2011-11-29 11:22:00,10
1519,14420.0,387.52,1,2011-09-01 18:07:00,98
1520,14421.0,813.11,2,2011-10-13 13:24:00,56
1522,14423.0,265.2,1,2011-05-05 15:12:00,217
1523,14424.0,322.08,1,2011-11-22 11:48:00,17
1525,14427.0,363.34000000000003,2,2011-10-20 14:23:00,49
1526,14428.0,1244.83,5,2011-12-02 13:17:00,6
1527,14431.0,470.36,1,2011-02-10 10:40:00,302
1528,14432.0,2255.51,6,2011-11-30 08:04:00,9
1529,14434.0,1372.8,6,2011-11-18 08:56:00,21
1530,14436.0,89.06,1,2011-09-02 10:13:00,98
1531,14437.0,63.0,1,2010-12-09 09:27:00,365
1532,14438.0,131.9,1,2011-02-06 14:56:00,305
1533,14439.0,2661.24,1,2011-01-24 11:39:00,319
1534,14440.0,2357.6800000000003,5,2011-12-01 15:42:00,7
1535,14441.0,1712.89,4,2011-12-09 09:07:00,0
1536,14442.0,1589.82,2,2011-05-19 11:36:00,204
1537,14443.0,1420.2,4,2011-10-17 10:10:00,53
1538,14446.0,1039.58,4,2011-12-09 11:34:00,0
1539,14447.0,1163.23,5,2011-11-21 08:28:00,18
1540,14448.0,375.35,2,2011-11-30 13:50:00,8
1541,14449.0,907.1,4,2011-11-21 12:06:00,18
1542,14450.0,483.25,3,2011-06-12 10:46:00,180
1543,14451.0,662.59,2,2011-10-10 13:38:00,59
1544,14452.0,264.44,2,2011-11-29 12:06:00,10
1545,14453.0,119.93,1,2011-06-02 14:15:00,189
1546,14456.0,3062.4,9,2011-12-04 13:59:00,4
1547,14457.0,113.64,1,2011-02-02 09:39:00,310
1548,14459.0,1837.92,1,2011-07-07 13:35:00,154
1549,14460.0,434.34,3,2011-08-21 14:19:00,109
1550,14461.0,2103.06,3,2011-07-14 17:11:00,147
1551,14462.0,2004.02,11,2011-10-04 15:55:00,65
1552,14463.0,529.62,3,2011-09-02 15:20:00,97
1553,14465.0,1058.6200000000001,3,2011-04-07 12:38:00,246
1554,14466.0,2272.4,7,2011-11-10 14:07:00,28
1555,14467.0,598.76,4,2011-11-22 12:48:00,17
1556,14470.0,461.19,2,2011-11-28 10:31:00,11
1557,14472.0,1936.84,8,2011-08-28 11:01:00,103
1558,14473.0,234.34000000000003,2,2011-09-26 15:10:00,73
1559,14474.0,547.66,1,2011-10-24 13:26:00,45
1560,14475.0,925.85,3,2011-09-29 10:46:00,71
1561,14476.0,215.7,1,2011-03-27 15:39:00,256
1562,14477.0,1309.6,4,2011-11-20 11:11:00,19
1563,14479.0,316.25,2,2011-03-31 09:07:00,253
1564,14480.0,279.05,1,2011-11-28 16:35:00,10
1565,14481.0,636.51,2,2011-06-28 10:38:00,164
1566,14482.0,2068.15,6,2011-11-21 13:14:00,17
1567,14483.0,137.1,1,2011-03-03 10:26:00,281
1568,14484.0,321.92,1,2011-10-20 14:11:00,49
1569,14485.0,165.75,1,2011-11-01 12:25:00,38
1570,14487.0,1196.33,6,2011-11-13 12:17:00,26
1571,14488.0,1064.28,1,2011-10-03 09:30:00,67
1572,14489.0,463.38,1,2011-05-16 14:51:00,206
1573,14491.0,340.93,2,2011-06-17 15:22:00,174
1574,14493.0,2383.2400000000002,5,2011-12-02 16:14:00,6
1575,14494.0,139.56,1,2011-11-14 09:21:00,25
1576,14495.0,123.8,2,2011-10-20 12:28:00,50
1577,14496.0,538.8100000000001,2,2011-02-01 09:01:00,311
1578,14497.0,475.37,1,2011-02-03 17:01:00,308
1579,14498.0,1957.32,5,2011-10-28 12:09:00,42
1580,14499.0,815.32,3,2011-11-13 13:01:00,25
1581,14500.0,356.85,3,2011-09-12 16:45:00,87
1582,14501.0,251.21,2,2011-06-09 12:02:00,183
1583,14502.0,2470.67,11,2011-11-20 11:50:00,19
1584,14503.0,3543.26,6,2011-12-06 13:30:00,2
1585,14504.0,673.26,4,2011-10-23 16:00:00,46
1587,14506.0,2012.17,5,2011-11-22 13:02:00,16
1588,14507.0,1383.18,6,2011-11-16 12:21:00,23
1589,14508.0,276.42,2,2011-11-17 19:48:00,21
1590,14511.0,1314.81,5,2011-11-28 17:05:00,10
1591,14512.0,275.28,2,2011-06-05 12:39:00,187
1592,14513.0,455.59000000000003,3,2011-08-31 11:25:00,100
1593,14514.0,1055.35,3,2011-10-09 16:05:00,60
1594,14515.0,2102.09,6,2011-11-22 11:37:00,17
1595,14517.0,330.45,2,2011-11-06 14:20:00,32
1596,14518.0,174.37,1,2011-10-06 14:43:00,63
1597,14520.0,270.6,2,2011-12-08 09:46:00,1
1598,14522.0,974.54,4,2011-11-15 13:24:00,23
1599,14523.0,241.09,1,2011-08-23 13:13:00,107
1600,14524.0,1867.68,9,2011-11-08 12:29:00,31
1603,14528.0,364.21999999999997,1,2011-11-02 17:09:00,36
1604,14529.0,620.04,3,2011-10-10 15:27:00,59
1605,14530.0,2925.91,6,2011-11-14 10:38:00,25
1606,14532.0,932.85,4,2011-04-17 13:05:00,235
1607,14533.0,1949.72,7,2011-11-15 12:05:00,24
1609,14535.0,2864.19,3,2011-10-10 15:39:00,59
1610,14536.0,171.8,1,2011-03-25 12:21:00,259
1611,14537.0,355.56,1,2011-10-13 10:54:00,57
1612,14538.0,388.25,2,2011-10-06 10:31:00,64
1613,14539.0,537.48,2,2011-11-24 09:50:00,15
1614,14540.0,996.26,3,2011-11-30 10:15:00,9
1615,14541.0,1461.65,8,2011-10-12 10:08:00,58
1616,14542.0,103.25,1,2011-06-07 08:19:00,185
1618,14544.0,2024.45,2,2011-11-15 15:06:00,23
1619,14546.0,2578.09,5,2011-12-04 13:00:00,4
1621,14548.0,652.8,2,2011-07-12 12:19:00,150
1622,14549.0,289.24,1,2011-02-01 13:47:00,310
1623,14550.0,765.62,2,2011-11-29 12:12:00,10
1624,14551.0,186.23,2,2011-11-21 13:36:00,17
1625,14552.0,165.07,1,2011-07-11 12:49:00,151
1626,14553.0,859.27,5,2011-11-20 13:20:00,18
1627,14554.0,2381.04,4,2011-11-29 16:44:00,9
1628,14555.0,324.14,2,2011-10-13 16:24:00,56
1629,14557.0,788.38,1,2011-09-15 15:48:00,84
1631,14561.0,1080.76,3,2011-09-25 12:39:00,75
1633,14565.0,2949.12,4,2011-09-05 09:07:00,95
1634,14566.0,1432.0,1,2011-08-21 11:05:00,110
1635,14567.0,1530.3600000000001,2,2011-10-14 10:21:00,56
1636,14569.0,227.39,1,2011-12-08 14:58:00,0
1637,14570.0,218.06,2,2011-03-04 10:58:00,280
1638,14572.0,2832.84,7,2011-12-06 14:40:00,2
1639,14573.0,1653.42,9,2011-06-13 11:15:00,179
1640,14576.0,35.400000000000006,1,2010-12-02 17:51:00,371
1641,14577.0,859.71,4,2011-11-27 12:47:00,12
1642,14578.0,168.63,1,2011-12-06 17:18:00,2
1643,14581.0,138.6,1,2011-11-23 12:39:00,16
1644,14582.0,114.11,1,2011-10-30 11:56:00,40
1645,14583.0,1052.55,5,2011-12-04 12:32:00,5
1646,14584.0,1042.26,4,2011-06-23 18:33:00,168
1647,14585.0,157.05,1,2011-10-20 14:33:00,49
1648,14586.0,237.36,1,2011-03-08 10:04:00,276
1649,14587.0,1601.14,9,2011-11-21 11:34:00,18
1650,14589.0,39.75,1,2010-12-03 11:42:00,371
